DAY,CENTERLAT,CENTERLON,FCOUNT
3/1/2017,43.1,-89.4,1
3/7/2017,43.1,-89.4,1
3/23/2017,43.1,-89.4,2
3/24/2017,43.1,-89.4,32
4/16/2017,43.1,-89.4,1
4/20/2017,43.1,-89.4,4
4/26/2017,43.1,-89.4,6
5/16/2017,43.1,-89.4,6
5/18/2017,43.1,-89.4,4
5/30/2017,43.1,-89.4,2
6/13/2017,43.1,-89.4,35
6/17/2017,43.1,-89.4,8
6/19/2017,43.1,-89.4,13
6/23/2017,43.1,-89.4,6
6/28/2017,43.1,-89.4,2
6/29/2017,43.1,-89.4,7
6/30/2017,43.1,-89.4,5
7/2/2017,43.1,-89.4,8
7/5/2017,43.1,-89.4,1
7/7/2017,43.1,-89.4,34
7/10/2017,43.1,-89.4,23
7/12/2017,43.1,-89.4,6
7/16/2017,43.1,-89.4,10
7/20/2017,43.1,-89.4,22
7/21/2017,43.1,-89.4,4
7/26/2017,43.1,-89.4,1
8/27/2017,43.1,-89.4,2
8/31/2017,43.1,-89.4,4
9/21/2017,43.1,-89.4,22
10/4/2017,43.1,-89.4,1
10/7/2017,43.1,-89.4,2
12/5/2017,43.1,-89.4,2
3/16/2016,43.1,-89.4,6
3/30/2016,43.1,-89.4,1
4/10/2016,43.1,-89.4,1
5/25/2016,43.1,-89.4,7
5/26/2016,43.1,-89.4,5
5/28/2016,43.1,-89.4,2
5/30/2016,43.1,-89.4,1
6/1/2016,43.1,-89.4,1
6/10/2016,43.1,-89.4,1
6/14/2016,43.1,-89.4,1
6/15/2016,43.1,-89.4,1
6/26/2016,43.1,-89.4,12
7/6/2016,43.1,-89.4,6
7/17/2016,43.1,-89.4,5
7/21/2016,43.1,-89.4,39
7/22/2016,43.1,-89.4,34
7/23/2016,43.1,-89.4,3
7/24/2016,43.1,-89.4,4
8/5/2016,43.1,-89.4,13
8/19/2016,43.1,-89.4,5
8/20/2016,43.1,-89.4,8
8/24/2016,43.1,-89.4,1
9/7/2016,43.1,-89.4,5
9/13/2016,43.1,-89.4,7
9/16/2016,43.1,-89.4,8
9/19/2016,43.1,-89.4,14
9/20/2016,43.1,-89.4,2
9/21/2016,43.1,-89.4,38
10/12/2016,43.1,-89.4,2
10/16/2016,43.1,-89.4,14
4/9/2015,43.1,-89.4,31
5/4/2015,43.1,-89.4,5
6/7/2015,43.1,-89.4,1
6/22/2015,43.1,-89.4,8
6/30/2015,43.1,-89.4,2
7/13/2015,43.1,-89.4,8
7/14/2015,43.1,-89.4,21
7/18/2015,43.1,-89.4,27
8/19/2015,43.1,-89.4,7
9/7/2015,43.1,-89.4,7
9/17/2015,43.1,-89.4,4
9/18/2015,43.1,-89.4,33
11/6/2015,43.1,-89.4,3
11/12/2015,43.1,-89.4,1
2/20/2014,43.1,-89.4,1
4/4/2014,43.1,-89.4,1
4/13/2014,43.1,-89.4,19
4/27/2014,43.1,-89.4,5
5/11/2014,43.1,-89.4,3
5/12/2014,43.1,-89.4,31
5/13/2014,43.1,-89.4,1
5/19/2014,43.1,-89.4,2
5/26/2014,43.1,-89.4,14
5/27/2014,43.1,-89.4,16
6/1/2014,43.1,-89.4,4
6/2/2014,43.1,-89.4,17
6/17/2014,43.1,-89.4,6
6/18/2014,43.1,-89.4,22
6/19/2014,43.1,-89.4,4
6/30/2014,43.1,-89.4,97
7/1/2014,43.1,-89.4,2
8/1/2014,43.1,-89.4,8
8/4/2014,43.1,-89.4,13
8/11/2014,43.1,-89.4,1
8/19/2014,43.1,-89.4,13
8/25/2014,43.1,-89.4,47
8/30/2014,43.1,-89.4,1
9/4/2014,43.1,-89.4,32
1/29/2013,43.1,-89.4,3
4/9/2013,43.1,-89.4,8
5/17/2013,43.1,-89.4,4
5/20/2013,43.1,-89.4,2
5/28/2013,43.1,-89.4,1
5/30/2013,43.1,-89.4,38
5/31/2013,43.1,-89.4,3
6/12/2013,43.1,-89.4,16
6/13/2013,43.1,-89.4,1
6/16/2013,43.1,-89.4,2
6/21/2013,43.1,-89.4,8
6/22/2013,43.1,-89.4,5
6/23/2013,43.1,-89.4,2
6/25/2013,43.1,-89.4,8
6/26/2013,43.1,-89.4,20
7/8/2013,43.1,-89.4,2
7/9/2013,43.1,-89.4,7
7/17/2013,43.1,-89.4,1
7/21/2013,43.1,-89.4,4
7/23/2013,43.1,-89.4,12
7/26/2013,43.1,-89.4,3
8/22/2013,43.1,-89.4,6
9/19/2013,43.1,-89.4,38
9/20/2013,43.1,-89.4,2
10/4/2013,43.1,-89.4,19
11/17/2013,43.1,-89.4,7
3/30/2012,43.1,-89.4,1
4/15/2012,43.1,-89.4,1
5/3/2012,43.1,-89.4,12
5/6/2012,43.1,-89.4,17
5/26/2012,43.1,-89.4,6
5/28/2012,43.1,-89.4,5
6/21/2012,43.1,-89.4,6
7/18/2012,43.1,-89.4,14
7/19/2012,43.1,-89.4,3
7/24/2012,43.1,-89.4,1
7/25/2012,43.1,-89.4,6
7/26/2012,43.1,-89.4,12
7/31/2012,43.1,-89.4,4
8/4/2012,43.1,-89.4,1
8/16/2012,43.1,-89.4,12
8/19/2012,43.1,-89.4,5
9/5/2012,43.1,-89.4,7
9/9/2012,43.1,-89.4,3
9/22/2012,43.1,-89.4,1
10/23/2012,43.1,-89.4,1
3/21/2011,43.1,-89.4,1
4/4/2011,43.1,-89.4,4
4/19/2011,43.1,-89.4,3
5/9/2011,43.1,-89.4,1
5/11/2011,43.1,-89.4,48
5/29/2011,43.1,-89.4,2
6/8/2011,43.1,-89.4,2
6/9/2011,43.1,-89.4,94
6/19/2011,43.1,-89.4,22
6/22/2011,43.1,-89.4,32
7/1/2011,43.1,-89.4,21
7/11/2011,43.1,-89.4,29
7/27/2011,43.1,-89.4,34
7/28/2011,43.1,-89.4,1
8/7/2011,43.1,-89.4,1
8/13/2011,43.1,-89.4,2
8/20/2011,43.1,-89.4,3
8/23/2011,43.1,-89.4,10
9/3/2011,43.1,-89.4,11
10/24/2011,43.1,-89.4,4
11/2/2011,43.1,-89.4,1
4/6/2010,43.1,-89.4,5
4/7/2010,43.1,-89.4,3
4/30/2010,43.1,-89.4,5
5/25/2010,43.1,-89.4,42
5/26/2010,43.1,-89.4,24
5/27/2010,43.1,-89.4,7
6/6/2010,43.1,-89.4,1
6/22/2010,43.1,-89.4,28
6/23/2010,43.1,-89.4,90
6/26/2010,43.1,-89.4,1
6/27/2010,43.1,-89.4,14
7/7/2010,43.1,-89.4,3
7/15/2010,43.1,-89.4,11
7/18/2010,43.1,-89.4,2
7/22/2010,43.1,-89.4,14
7/23/2010,43.1,-89.4,27
7/28/2010,43.1,-89.4,1
8/8/2010,43.1,-89.4,7
8/9/2010,43.1,-89.4,2
8/13/2010,43.1,-89.4,13
8/20/2010,43.1,-89.4,2
8/31/2010,43.1,-89.4,17
9/1/2010,43.1,-89.4,9
9/2/2010,43.1,-89.4,1
9/6/2010,43.1,-89.4,10
9/18/2010,43.1,-89.4,14
2/26/2009,43.1,-89.4,1
4/25/2009,43.1,-89.4,1
4/26/2009,43.1,-89.4,5
5/13/2009,43.1,-89.4,3
5/14/2009,43.1,-89.4,11
6/8/2009,43.1,-89.4,29
6/19/2009,43.1,-89.4,66
6/22/2009,43.1,-89.4,1
7/11/2009,43.1,-89.4,5
8/8/2009,43.1,-89.4,16
8/29/2009,43.1,-89.4,1
9/27/2009,43.1,-89.4,1
1/7/2008,43.1,-89.4,13
4/11/2008,43.1,-89.4,2
4/25/2008,43.1,-89.4,31
5/2/2008,43.1,-89.4,2
5/26/2008,43.1,-89.4,8
5/30/2008,43.1,-89.4,4
6/5/2008,43.1,-89.4,46
6/8/2008,43.1,-89.4,5
6/9/2008,43.1,-89.4,7
6/12/2008,43.1,-89.4,20
6/13/2008,43.1,-89.4,8
6/14/2008,43.1,-89.4,5
6/28/2008,43.1,-89.4,2
7/2/2008,43.1,-89.4,1
7/7/2008,43.1,-89.4,1
7/8/2008,43.1,-89.4,20
7/10/2008,43.1,-89.4,1
7/11/2008,43.1,-89.4,60
8/4/2008,43.1,-89.4,29
3/21/2007,43.1,-89.4,2
3/22/2007,43.1,-89.4,9
3/31/2007,43.1,-89.4,1
