DAY,CENTERLAT,CENTERLON,FCOUNT
2017-03-01,43.1,-89.4,1
2017-03-07,43.1,-89.4,1
2017-03-23,43.1,-89.4,2
2017-03-24,43.1,-89.4,32
2017-04-16,43.1,-89.4,1
2017-04-20,43.1,-89.4,4
2017-04-26,43.1,-89.4,6
2017-05-16,43.1,-89.4,6
2017-05-18,43.1,-89.4,4
2017-05-30,43.1,-89.4,2
2017-06-13,43.1,-89.4,35
2017-06-17,43.1,-89.4,8
2017-06-19,43.1,-89.4,13
2017-06-23,43.1,-89.4,6
2017-06-28,43.1,-89.4,2
2017-06-29,43.1,-89.4,7
2017-06-30,43.1,-89.4,5
2017-07-02,43.1,-89.4,8
2017-07-05,43.1,-89.4,1
2017-07-07,43.1,-89.4,34
2017-07-10,43.1,-89.4,23
2017-07-12,43.1,-89.4,6
2017-07-16,43.1,-89.4,10
2017-07-20,43.1,-89.4,22
2017-07-21,43.1,-89.4,4
2017-07-26,43.1,-89.4,1
2017-08-27,43.1,-89.4,2
2017-08-31,43.1,-89.4,4
2017-09-21,43.1,-89.4,22
2017-10-04,43.1,-89.4,1
2017-10-07,43.1,-89.4,2
2017-12-05,43.1,-89.4,2
2016-03-16,43.1,-89.4,6
2016-03-30,43.1,-89.4,1
2016-04-10,43.1,-89.4,1
2016-05-25,43.1,-89.4,7
2016-05-26,43.1,-89.4,5
2016-05-28,43.1,-89.4,2
2016-05-30,43.1,-89.4,1
2016-06-01,43.1,-89.4,1
2016-06-10,43.1,-89.4,1
2016-06-14,43.1,-89.4,1
2016-06-15,43.1,-89.4,1
2016-06-26,43.1,-89.4,12
2016-07-06,43.1,-89.4,6
2016-07-17,43.1,-89.4,5
2016-07-21,43.1,-89.4,39
2016-07-22,43.1,-89.4,34
2016-07-23,43.1,-89.4,3
2016-07-24,43.1,-89.4,4
2016-08-05,43.1,-89.4,13
2016-08-19,43.1,-89.4,5
2016-08-20,43.1,-89.4,8
2016-08-24,43.1,-89.4,1
2016-09-07,43.1,-89.4,5
2016-09-13,43.1,-89.4,7
2016-09-16,43.1,-89.4,8
2016-09-19,43.1,-89.4,14
2016-09-20,43.1,-89.4,2
2016-09-21,43.1,-89.4,38
2016-10-12,43.1,-89.4,2
2016-10-16,43.1,-89.4,14
2015-04-09,43.1,-89.4,31
2015-05-04,43.1,-89.4,5
2015-06-07,43.1,-89.4,1
2015-06-22,43.1,-89.4,8
2015-06-30,43.1,-89.4,2
2015-07-13,43.1,-89.4,8
2015-07-14,43.1,-89.4,21
2015-07-18,43.1,-89.4,27
2015-08-19,43.1,-89.4,7
2015-09-07,43.1,-89.4,7
2015-09-17,43.1,-89.4,4
2015-09-18,43.1,-89.4,33
2015-11-06,43.1,-89.4,3
2015-11-12,43.1,-89.4,1
2014-02-20,43.1,-89.4,1
2014-04-04,43.1,-89.4,1
2014-04-13,43.1,-89.4,19
2014-04-27,43.1,-89.4,5
2014-05-11,43.1,-89.4,3
2014-05-12,43.1,-89.4,31
2014-05-13,43.1,-89.4,1
2014-05-19,43.1,-89.4,2
2014-05-26,43.1,-89.4,14
2014-05-27,43.1,-89.4,16
2014-06-01,43.1,-89.4,4
2014-06-02,43.1,-89.4,17
2014-06-17,43.1,-89.4,6
2014-06-18,43.1,-89.4,22
2014-06-19,43.1,-89.4,4
2014-06-30,43.1,-89.4,97
2014-07-01,43.1,-89.4,2
2014-08-01,43.1,-89.4,8
2014-08-04,43.1,-89.4,13
2014-08-11,43.1,-89.4,1
2014-08-19,43.1,-89.4,13
2014-08-25,43.1,-89.4,47
2014-08-30,43.1,-89.4,1
2014-09-04,43.1,-89.4,32
2013-01-29,43.1,-89.4,3
2013-04-09,43.1,-89.4,8
2013-05-17,43.1,-89.4,4
2013-05-20,43.1,-89.4,2
2013-05-28,43.1,-89.4,1
2013-05-30,43.1,-89.4,38
2013-05-31,43.1,-89.4,3
2013-06-12,43.1,-89.4,16
2013-06-13,43.1,-89.4,1
2013-06-16,43.1,-89.4,2
2013-06-21,43.1,-89.4,8
2013-06-22,43.1,-89.4,5
2013-06-23,43.1,-89.4,2
2013-06-25,43.1,-89.4,8
2013-06-26,43.1,-89.4,20
2013-07-08,43.1,-89.4,2
2013-07-09,43.1,-89.4,7
2013-07-17,43.1,-89.4,1
2013-07-21,43.1,-89.4,4
2013-07-23,43.1,-89.4,12
2013-07-26,43.1,-89.4,3
2013-08-22,43.1,-89.4,6
2013-09-19,43.1,-89.4,38
2013-09-20,43.1,-89.4,2
2013-10-04,43.1,-89.4,19
2013-11-17,43.1,-89.4,7
2012-03-30,43.1,-89.4,1
2012-04-15,43.1,-89.4,1
2012-05-03,43.1,-89.4,12
2012-05-06,43.1,-89.4,17
2012-05-26,43.1,-89.4,6
2012-05-28,43.1,-89.4,5
2012-06-21,43.1,-89.4,6
